OBJECTID,STOP_ID,LAST_UPDATE_DATE,GeometryEasting,GeometryNorthing
1,20000003,2026-06-18,836561,815610
2,20000004,2026-06-18,836015,815488
3,20000007,2026-08-12,835382,815370
4,20000008,2026-09-11,832110,816064
5,20000009,2026-09-11,831818,816131
6,20000010,2026-09-10,831703,815911
7,20000011,2026-06-18,830889,814761
8,20000012,2026-06-18,831806,816150
9,20000013,2026-06-18,831878,816170
10,20000015,2026-06-18,832592,816220
11,20000016,2026-07-13,832810,816167
12,20000017,2026-09-10,833376,816031
13,20000018,2026-09-10,833525,815994
14,20000019,2026-09-11,833671,815867
15,20000020,2026-09-11,835012,815511
16,20000021,2026-07-15,836673,815675
17,20000024,2026-06-18,834249,815878
18,20000025,2026-09-11,837044,815414
19,20000026,2026-08-12,834572,815418
20,20000048,2026-07-15,836592,815209
21,20000049,2026-07-15,836603,815353
22,20000052,2026-06-18,835886,815425
23,20000053,2026-06-18,836498,815542
24,20000057,2026-09-10,835609,812390
25,20000058,2026-06-18,834873,812178
26,20000066,2026-06-18,835025,815585
27,20000072,2026-09-11,832051,816088
28,20000075,2026-06-18,834719,815057
29,20000080,2026-06-18,831295,815657
30,20000081,2026-06-18,831111,816027
31,20000082,2026-06-18,832059,816433
32,20000085,2026-06-18,831719,816380
33,20000088,2026-06-18,831264,815918
34,20000089,2026-06-18,831361,815730
35,20000090,2026-06-18,830955,815809
36,20000091,2026-06-18,831013,815992
37,20000092,2026-06-18,832298,816270
38,20000093,2026-07-30,837043,815530
39,20000094,2026-07-30,838047,814965
40,20000095,2026-07-30,838006,814843
41,20000096,2026-07-30,838181,814610
42,20000097,2026-07-30,838065,814503
43,20000098,2026-07-30,837756,814288
44,20000099,2026-09-11,840016,809004
45,20000101,2026-07-27,839181,808610
46,20000102,2026-07-27,842489,814048
47,20000103,2026-06-18,842480,814009
48,20000104,2026-06-18,844173,812499
49,20000105,2026-06-18,842998,814397
50,20000106,2026-06-18,841499,815367
51,20000107,2026-06-18,841378,815497
52,20000108,2026-09-10,841333,815575
53,20000109,2026-06-18,841289,815652
54,20000110,2026-06-18,841219,815708
55,20000111,2026-06-18,841088,815750
56,20000118,2026-06-18,841350,815580
57,20000119,2026-06-18,841465,815407
58,20000120,2026-06-18,842016,814320
59,20000121,2026-09-10,837970,815364
60,20000122,2026-06-18,837963,815354
61,20000123,2026-09-10,838087,815418
62,20000124,2026-06-18,838057,815520
63,20000125,2026-06-18,838237,815064
64,20000126,2026-09-10,832157,813282
65,20000127,2026-06-18,832431,813180
66,20000130,2026-09-10,832422,813173
67,20000134,2026-06-18,836324,815047
68,20000135,2026-06-18,836187,814838
